yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090I1I3	A0A090I1I3	BRM9_0399 DSM1535_0326 MB9_1435	Protein translation factor SUI1 homolog				Complete proteome;Initiation factor;Protein biosynthesis;Translation regulation	Inferred from homology	translation initiation factor activity [GO:0003743]	SUI1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd11567;			IPR001950;IPR022851;IPR005872;IPR036877;	mfc:BRM9_0399;mfi:DSM1535_0326;	K03113;	PF01253;		WP_008514880.1;		Methanobacterium formicicum	2162
A0A090I5Q1	A0A090I5Q1	DSM1535_1034	Y414 protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd07894;			IPR041596;IPR021122;IPR001072;	mfi:DSM1535_1034;	K07468;	PF18330;PF09414;		WP_048072595.1;		Methanobacterium formicicum	2162
A0A090I543	A0A090I543	BRM9_0712 DSM1535_0664 MB9_1748	Putative adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	2.7.4.3	FUNCTION: Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. {ECO:0000256|HAMAP-Rule:MF_00039}.		ATP-binding;Complete proteome;Kinase;Nucleotide-binding;Transferase	Inferred from homology	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]	Adenylate kinase family, AK6 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020618;IPR027417;	mfc:BRM9_0712;mfi:DSM1535_0664;	K18532;			WP_052399953.1;		Methanobacterium formicicum	2162
A0A090JYQ5	A0A090JYQ5	DSM1535_2397	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2397;				WP_048073700.1;		Methanobacterium formicicum	2162
A0A090I7P8	A0A090I7P8	DSM1535_0814	Putative membrane protein				Coiled coil;Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013099;IPR028325;IPR027359;	mfi:DSM1535_0814;	K10716;	PF07885;		WP_048073835.1;		Methanobacterium formicicum	2162
A0A090I2B9	A0A090I2B9	DSM1535_0648	Radical SAM domain-containing protein				Complete proteome	Predicted	catalytic activity [GO:0003824]; cobalamin binding [GO:0031419]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006158;IPR036724;IPR006638;IPR034466;IPR007197;IPR023404;	mfi:DSM1535_0648;		PF02310;PF04055;		WP_048072275.1;		Methanobacterium formicicum	2162
A0A089ZUV2	A0A089ZUV2	BRM9_0506 DSM1535_0486 MB9_1544	Methanogenesis marker protein 5				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012356;	mfc:BRM9_0506;mfi:DSM1535_0486;		PF09885;		WP_048072134.1;		Methanobacterium formicicum	2162
A0A090I458	A0A090I458	DSM1535_1758	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029063;	mfi:DSM1535_1758;						Methanobacterium formicicum	2162
A0A090I486	A0A090I486	ubiA DSM1535_1668	Prenyltransferase				Complete proteome;Membrane;Transferase;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000537;	mfi:DSM1535_1668;		PF01040;				Methanobacterium formicicum	2162
A0A090I649	A0A090I649	thiL DSM1535_1218 MB9_2322	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	2.7.4.16	FUNCTION: Catalyzes the ATP-dependent phosphorylation of thiamine-monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1. {ECO:0000256|HAMAP-Rule:MF_02128}.	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis; thiamine diphosphate from thiamine phosphate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_02128}.	ATP-binding;Complete proteome;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Thiamine biosynthesis;Transferase	Inferred from homology	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; thiamine-phosphate kinase activity [GO:0009030]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	Thiamine-monophosphate kinase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02194;			IPR010918;IPR036676;IPR016188;IPR036921;IPR006283;	mfi:DSM1535_1218;	K00946;	PF00586;PF02769;		WP_048072752.1;	UPA00060;UER00142	Methanobacterium formicicum	2162
A0A090JYN9	A0A090JYN9	BRM9_1732 DSM1535_2372	Probable Brix domain-containing ribosomal biogenesis protein		FUNCTION: Probably involved in the biogenesis of the ribosome. {ECO:0000256|HAMAP-Rule:MF_00699}.		Complete proteome;Ribosome biogenesis	Inferred from homology	ribosome biogenesis [GO:0042254]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007109;IPR023548;	mfc:BRM9_1732;mfi:DSM1535_2372;	K14561;			WP_048073676.1;		Methanobacterium formicicum	2162
A0A090JYS3	A0A090JYS3	DSM1535_2420	Uncharacterized protein				Complete proteome	Predicted	enzyme activator activity [GO:0008047]; peptidase activity [GO:0008233]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06067;			IPR004420;IPR023430;IPR000671;	mfi:DSM1535_2420;	K08315;	PF01750;				Methanobacterium formicicum	2162
A0A090JT56	A0A090JT56	pgsA2 BRM9_2019 DSM1535_0212	CDP-alcohol phosphatidyltransferase (Phosphatidylglycerophosphate synthase PgsA2)				Complete proteome;Membrane;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]	CDP-alcohol phosphatidyltransferase class-I family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000462;	mfc:BRM9_2019;mfi:DSM1535_0212;	K08744;	PF01066;		WP_048071905.1;		Methanobacterium formicicum	2162
A0A090JYN3	A0A090JYN3	cbiQ1 cbiQ3 BRM9_1722 DSM1535_2362 MB9_0634	Cobalt ABC transporter permease protein CbiQ3 (Cobalt transport protein)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of plasma membrane [GO:0005887]; cobalt ion transport [GO:0006824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003339;IPR012809;	mfc:BRM9_1722;mfi:DSM1535_2362;	K02008;	PF02361;		WP_023991709.1;		Methanobacterium formicicum	2162
A0A090I7J3	A0A090I7J3	DSM1535_1875	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1875;				WP_048073275.1;		Methanobacterium formicicum	2162
A0A090I4A4	A0A090I4A4	DSM1535_1699 MB9_1304	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1699;						Methanobacterium formicicum	2162
A0A090I1W1	A0A090I1W1	DSM1535_0468	Metallophosphoesterase				Complete proteome	Predicted	hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd07392;			IPR004843;IPR029052;IPR041733;	mfi:DSM1535_0468;	K07096;	PF00149;				Methanobacterium formicicum	2162
A0A089Z8F0	A0A089Z8F0	BRM9_0257 DSM1535_1048 MB9_2139	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_0257;mfi:DSM1535_1048;				WP_048072606.1;		Methanobacterium formicicum	2162
A0A090JUP3	A0A090JUP3	DSM1535_0838	Probable membrane transporter protein				Cell membrane;Complete proteome;Membrane;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	4-toluene sulfonate uptake permease (TSUP) (TC 2.A.102) family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002781;	mfi:DSM1535_0838;	K07090;	PF01925;		WP_048072430.1;		Methanobacterium formicicum	2162
A0A090I8A5	A0A090I8A5	DSM1535_1112	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR041698;IPR029063;	mfi:DSM1535_1112;		PF13649;		WP_048072661.1;		Methanobacterium formicicum	2162
A0A089ZH81	A0A089ZH81	BRM9_0841 DSM1535_0803 MB9_1893	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002572;	mfc:BRM9_0841;mfi:DSM1535_0803;		PF01629;		WP_048072405.1;		Methanobacterium formicicum	2162
A0A090IAS1	A0A090IAS1	DSM1535_2222	Protein DSM1535_2222				Complete proteome	Inferred from homology			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR023473;IPR036071;IPR002733;IPR027485;IPR027623;IPR023472;	mfi:DSM1535_2222;	K09141;	PF01871;		WP_048073558.1;		Methanobacterium formicicum	2162
A0A090I4T9	A0A090I4T9	DSM1535_2161	Group 1 glycosyl transferase				Complete proteome;Transferase	Predicted	transferase activity [GO:0016740]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001296;IPR028098;	mfi:DSM1535_2161;		PF13439;PF00534;		WP_048073505.1;		Methanobacterium formicicum	2162
A0A090I8G7	A0A090I8G7	DSM1535_2270	Metallo-beta-lactamase superfamily protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd07713;			IPR041712;IPR001279;IPR036866;	mfi:DSM1535_2270;	K06897;	PF00753;				Methanobacterium formicicum	2162
A0A090I6T7	A0A090I6T7	DSM1535_0440	Polysaccharide biosynthesis protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029303;IPR002797;	mfi:DSM1535_0440;		PF01943;PF14667;				Methanobacterium formicicum	2162
A0A090JVQ1	A0A090JVQ1	DSM1535_1219	Uncharacterized protein				Complete proteome;Iron;Iron-sulfur;Metal-binding;S-adenosyl-L-methionine	Predicted	catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013785;IPR027596;IPR006638;IPR034457;IPR016431;IPR007197;	mfi:DSM1535_1219;	K04069;	PF04055;				Methanobacterium formicicum	2162
A0A090IAI0	A0A090IAI0	DSM1535_2150	Putative secreted protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2150;				WP_048073496.1;		Methanobacterium formicicum	2162
A0A090JXI3	A0A090JXI3	DSM1535_1942	DtxR family iron (Metal) dependent repressor				Complete proteome	Predicted	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; transition metal ion binding [GO:0046914]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007167;IPR001367;IPR036421;IPR038157;IPR022687;IPR000835;IPR022689;IPR008988;IPR036388;IPR036390;	mfi:DSM1535_1942;	K03709;	PF02742;PF01325;PF04023;		WP_048073329.1;		Methanobacterium formicicum	2162
A0A090I1D6	A0A090I1D6	DSM1535_0260	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR039498;	mfi:DSM1535_0260;		PF14907;		WP_048071940.1;		Methanobacterium formicicum	2162
A0A090I812	A0A090I812	DSM1535_2092	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007166;	mfi:DSM1535_2092;		PF04021;				Methanobacterium formicicum	2162
A0A090JXW9	A0A090JXW9	DSM1535_2088	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2088;				WP_048073446.1;		Methanobacterium formicicum	2162
A0A090I4G6	A0A090I4G6	BRM9_1124 DSM1535_1779 MB9_1219	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_1124;mfi:DSM1535_1779;				WP_048073204.1;		Methanobacterium formicicum	2162
A0A090JWR3	A0A090JWR3	DSM1535_1645	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003675;IPR042150;	mfi:DSM1535_1645;		PF02517;		WP_048073095.1;		Methanobacterium formicicum	2162
A0A090I5Y6	A0A090I5Y6	BRM9_2220 DSM1535_1150 MB9_2254	PadR family transcriptional regulator (PadR-like family transcriptional regulator)				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005149;IPR036388;IPR036390;	mfc:BRM9_2220;mfi:DSM1535_1150;		PF03551;		WP_052400039.1;		Methanobacterium formicicum	2162
A0A090I5Z1	A0A090I5Z1	BRM9_2225 DSM1535_1155 MB9_2259	Isochorismatase family protein (Isochorismatase hydrolase)				Complete proteome;Hydrolase	Predicted	hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000868;IPR036380;	mfc:BRM9_2225;mfi:DSM1535_1155;		PF00857;		WP_048072698.1;		Methanobacterium formicicum	2162
A0A090JXK6	A0A090JXK6	BRM9_1283 DSM1535_1967 MB9_1030	Cell wall biosynthesis protein phospho-N-acetylmuramoyl-pentapeptide-transferase family (N-acetylglucosamine-1-phosphate transferase)				Complete proteome;Membrane;Transferase;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000715;	mfc:BRM9_1283;mfi:DSM1535_1967;	K01001;	PF00953;		WP_048073349.1;		Methanobacterium formicicum	2162
A0A089ZGW4	A0A089ZGW4	BRM9_0610 DSM1535_0592 MB9_1650	UPF0218 protein BRM9_0610				Complete proteome	Inferred from homology		UPF0218 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007164;	mfc:BRM9_0610;mfi:DSM1535_0592;	K09735;	PF04019;		WP_048072225.1;		Methanobacterium formicicum	2162
A0A090JY64	A0A090JY64	pcm DSM1535_2191 MB9_0807	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	2.1.1.77	FUNCTION: Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and/or degradation of damaged proteins. {ECO:0000256|HAMAP-Rule:MF_00090}.		Complete proteome;Cytoplasm;Methyltransferase;S-adenosyl-L-methionine;Transferase	Inferred from homology	cytoplasm [GO:0005737]; protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]; protein repair [GO:0030091]	Methyltransferase superfamily, L-isoaspartyl/D-aspartyl protein methyltransferase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000682;IPR029063;	mfi:DSM1535_2191;	K00573;			WP_048073531.1;		Methanobacterium formicicum	2162
A0A090I6G0	A0A090I6G0	DSM1535_1381	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014846;	mfi:DSM1535_1381;		PF08735;		WP_048072896.1;		Methanobacterium formicicum	2162
A0A090IA65	A0A090IA65	DSM1535_1978	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002849;	mfi:DSM1535_1978;		PF01998;		WP_048073357.1;		Methanobacterium formicicum	2162
A0A089ZAZ2	A0A089ZAZ2	rpl34e BRM9_0380 DSM1535_0308 MB9_1417	50S ribosomal protein L34e				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eL34 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008195;IPR038562;	mfc:BRM9_0380;mfi:DSM1535_0308;	K02915;	PF01199;		WP_048071982.1;		Methanobacterium formicicum	2162
A0A090I4N3	A0A090I4N3	DSM1535_1905	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00075;cd00130;			IPR003018;IPR003594;IPR036890;IPR005467;IPR001610;IPR000014;IPR000700;IPR035965;IPR013656;IPR013655;IPR011495;	mfi:DSM1535_1905;		PF13185;PF07568;PF08447;PF08448;PF13426;				Methanobacterium formicicum	2162
A0A090IAX4	A0A090IAX4	yngI BRM9_1608 DSM1535_2303 MB9_0700	Acyl-CoA synthetase (Putative acyl-CoA synthetase YngI) (EC 6.2.1.-)	6.2.1.-			Complete proteome;Ligase	Predicted	ligase activity [GO:0016874]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR025110;IPR020845;IPR000873;	mfc:BRM9_1608;mfi:DSM1535_2303;	K00666;	PF00501;PF13193;		WP_048073627.1;		Methanobacterium formicicum	2162
A0A090JYI6	A0A090JYI6	BRM9_1597 DSM1535_2291 MB9_0712	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_1597;mfi:DSM1535_2291;				WP_048073618.1;		Methanobacterium formicicum	2162
A0A090JVP6	A0A090JVP6	DSM1535_1209 MB9_2313	Uncharacterized protein				Coiled coil;Complete proteome	Predicted	RNA polymerase complex [GO:0030880]; catalytic activity [GO:0003824]; nucleotide binding [GO:0000166]; DNA-templated transcription, initiation [GO:0006352]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010997;IPR010924;IPR005574;	mfi:DSM1535_1209;	K03051;	PF03874;		WP_048072744.1;		Methanobacterium formicicum	2162
A0A090I8H4	A0A090I8H4	BRM9_1596 DSM1535_2290 MB9_0713	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_1596;mfi:DSM1535_2290;				WP_048073617.1;		Methanobacterium formicicum	2162
A0A090I462	A0A090I462	BRM9_1946 DSM1535_0134 MB9_0410	Nitroreductase (Nitroreductase family protein)				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000415;IPR029478;	mfc:BRM9_1946;mfi:DSM1535_0134;		PF14512;		WP_048071838.1;		Methanobacterium formicicum	2162
A0A090I388	A0A090I388	DSM1535_1144 MB9_2248	Uncharacterized protein				Complete proteome	Predicted	DNA-binding transcription factor activity [GO:0003700]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000835;IPR023187;IPR036388;IPR036390;	mfi:DSM1535_1144;		PF01047;				Methanobacterium formicicum	2162
A0A090I2T0	A0A090I2T0	DSM1535_0896	Cation antiporter				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004481;IPR004837;	mfi:DSM1535_0896;	K07301;	PF01699;		WP_048072483.1;		Methanobacterium formicicum	2162
A0A090JUZ9	A0A090JUZ9	comD DSM1535_0958	Sulfopyruvate decarboxylase subunit alpha (EC 4.1.1.79)	4.1.1.79			Complete proteome;Lyase;Pyruvate	Predicted	sulfopyruvate decarboxylase activity [GO:0050545]; thiamine pyrophosphate binding [GO:0030976]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022502;IPR029061;IPR012001;	mfi:DSM1535_0958;	K06034;	PF02776;		WP_048072540.1;		Methanobacterium formicicum	2162
A0A090I6I8	A0A090I6I8	BRM9_0366 DSM1535_0293 MB9_1402	4Fe-4S ferredoxin iron-sulfur binding domain-containing protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;	mfc:BRM9_0366;mfi:DSM1535_0293;		PF13187;		WP_048071968.1;		Methanobacterium formicicum	2162
A0A090JSV4	A0A090JSV4	BRM9_1947 DSM1535_0135 MB9_0409	ATP-cone domain-containing protein				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005144;	mfc:BRM9_1947;mfi:DSM1535_0135;		PF03477;		WP_048071839.1;		Methanobacterium formicicum	2162
A0A090I3A5	A0A090I3A5	DSM1535_1164	Phosphoesterase PA-phosphatase-like protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036938;IPR000326;	mfi:DSM1535_1164;	K19302;	PF01569;		WP_048072706.1;		Methanobacterium formicicum	2162
A0A089ZCD6	A0A089ZCD6	BRM9_1624 DSM1535_2319 MB9_0684	Putative secreted protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_1624;mfi:DSM1535_2319;				WP_048073641.1;		Methanobacterium formicicum	2162
A0A090JW04	A0A090JW04	DSM1535_1357	Radical SAM domain-containing protein				Complete proteome	Predicted	catalytic activity [GO:0003824]; DNA binding [GO:0003677]; iron-sulfur cluster binding [GO:0051536]; DNA repair [GO:0006281]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013785;IPR023874;IPR006638;IPR003583;IPR007197;IPR010994;	mfi:DSM1535_1357;		PF04055;		WP_048072874.1;		Methanobacterium formicicum	2162
A0A090JWA2	A0A090JWA2	BRM9_0150 DSM1535_1473 MB9_0115	Amidohydrolase (EC 3.5.1.47)	3.5.1.47			Complete proteome;Hydrolase	Predicted	N-acetyldiaminopimelate deacetylase activity [GO:0050118]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017439;IPR036264;IPR002933;IPR011650;	mfc:BRM9_0150;mfi:DSM1535_1473;		PF07687;PF01546;		WP_048072973.1;		Methanobacterium formicicum	2162
A0A090JXE7	A0A090JXE7	DSM1535_1907	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016181;IPR000182;	mfi:DSM1535_1907;	K03826;	PF13673;		WP_048073304.1;		Methanobacterium formicicum	2162
