yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
K2R2E1	K2R2E1	A994_00415	VWA containing CoxE family protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008912;			PF05762;		WP_004029259.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QCC1	K2QCC1	A994_07986	Iron-containing alcohol dehydrogenase				Complete proteome	Predicted	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001670;IPR018211;IPR039697;			PF00465;		WP_004030948.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FLC3	A0A0S4FLC3	MB9_0153	Trimethylamine-N-oxide reductase (Cytochrome c) (EC 1.7.2.3)	1.7.2.3			Complete proteome;Oxidoreductase	Predicted	trimethylamine-N-oxide reductase (cytochrome c) activity [GO:0050626]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006656;			PF00384;				Methanobacterium formicicum	2162
A0A090IAX4	A0A090IAX4	yngI BRM9_1608 DSM1535_2303 MB9_0700	Acyl-CoA synthetase (Putative acyl-CoA synthetase YngI) (EC 6.2.1.-)	6.2.1.-			Complete proteome;Ligase	Predicted	ligase activity [GO:0016874]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR025110;IPR020845;IPR000873;	mfc:BRM9_1608;mfi:DSM1535_2303;	K00666;	PF00501;PF13193;		WP_048073627.1;		Methanobacterium formicicum	2162
A0A090I857	A0A090I857	DSM1535_1051	Carboxymuconolactone decarboxylase				Complete proteome	Predicted	peroxiredoxin activity [GO:0051920]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029032;IPR003779;	mfi:DSM1535_1051;	K01607;	PF02627;				Methanobacterium formicicum	2162
A0A090I809	A0A090I809	DSM1535_2087	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2087;				WP_048073445.1;		Methanobacterium formicicum	2162
A0A090I800	A0A090I800	comE DSM1535_0959	Sulfopyruvate decarboxylase subunit beta (EC 4.1.1.-)	4.1.1.-			Complete proteome;Lyase;Membrane;Pyruvate;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; lyase activity [GO:0016829]; thiamine pyrophosphate binding [GO:0030976]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03372;			IPR022494;IPR029061;IPR011766;	mfi:DSM1535_0959;	K13039;	PF02775;		WP_048072541.1;		Methanobacterium formicicum	2162
A0A090I4T2	A0A090I4T2	DSM1535_1995	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001296;	mfi:DSM1535_1995;		PF00534;		WP_048073371.1;		Methanobacterium formicicum	2162
A0A090I4I3	A0A090I4I3	DSM1535_2004 MB9_0992	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011306;	mfi:DSM1535_2004;		PF17367;				Methanobacterium formicicum	2162
A0A090I4D9	A0A090I4D9	DSM1535_1729	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	2.7.4.7			Complete proteome;Kinase;Transferase	Predicted	phosphomethylpyrimidine kinase activity [GO:0008972]; thiamine biosynthetic process [GO:0009228]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01169;			IPR004399;IPR013749;IPR029056;	mfi:DSM1535_1729;	K00941;	PF08543;		WP_048073161.1;		Methanobacterium formicicum	2162
A0A090I2B0	A0A090I2B0	tiaS DSM1535_0789	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS (tRNA(Ile2)-agm2C synthetase) (EC 6.3.4.22) (tRNA(Ile2) agmatidine synthetase)	6.3.4.22	FUNCTION: ATP-dependent agmatine transferase that catalyzes the formation of 2-agmatinylcytidine (agm2C) at the wobble position (C34) of tRNA(Ile2), converting the codon specificity from AUG to AUA. {ECO:0000256|HAMAP-Rule:MF_01892}.		ATP-binding;Complete proteome;Cytoplasm;Ligase;Nucleotide-binding;tRNA processing	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA wobble cytosine modification [GO:0002101]	TiaS family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013696;IPR024913;	mfi:DSM1535_0789;	K06932;	PF08489;		WP_048072391.1;		Methanobacterium formicicum	2162
A0A090I1S2	A0A090I1S2	htpX BRM9_0576 DSM1535_0557 MB9_1615	Protease HtpX homolog (EC 3.4.24.-)	3.4.24.-			Cell membrane;Complete proteome;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Transmembrane;Transmembrane helix;Zinc	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	Peptidase M48B family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018247;IPR022919;IPR001915;	mfc:BRM9_0576;mfi:DSM1535_0557;	K03799;	PF01435;		WP_048072196.1;		Methanobacterium formicicum	2162
A0A090I0P8	A0A090I0P8	ade DSM1535_0102	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	3.5.4.2			Complete proteome;Hydrolase;Manganese	Inferred from homology	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]	Metallo-dependent hydrolases superfamily, Adenine deaminase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01295;			IPR006679;IPR026912;IPR006680;IPR011059;IPR032466;	mfi:DSM1535_0102;	K01486;	PF13382;PF01979;		WP_048071809.1;		Methanobacterium formicicum	2162
A0A089ZH31	A0A089ZH31	cbiM3 cbiM2 BRM9_1720 DSM1535_2360 MB9_0636	Cobalamin biosynthesis protein CbiM3 (Cobalt transport protein)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transition metal ion transport [GO:0000041]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002751;	mfc:BRM9_1720;mfi:DSM1535_2360;	K02007;	PF01891;		WP_048073668.1;		Methanobacterium formicicum	2162
A0A089ZDB2	A0A089ZDB2	BRM9_2002 DSM1535_0194 MB9_0337	Cell wall biosynthesis protein UDP-glycosyltransferase family (MurG-like protein)				Coiled coil;Complete proteome;Transferase	Predicted	transferase activity, transferring hexosyl groups [GO:0016758]; carbohydrate metabolic process [GO:0005975]; lipid glycosylation [GO:0030259]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004276;	mfc:BRM9_2002;mfi:DSM1535_0194;	K02563;	PF03033;		WP_048071888.1;		Methanobacterium formicicum	2162
A0A089Z847	A0A089Z847	BRM9_0140 DSM1535_1463 MB9_0104	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_0140;mfi:DSM1535_1463;				WP_048072965.1;		Methanobacterium formicicum	2162
A0A0S4FNJ7	A0A0S4FNJ7	MB9_0986	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR019212;			PF09878;		WP_060537572.1;		Methanobacterium formicicum	2162
A0A090I4D4	A0A090I4D4	acsA5 DSM1535_1939	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	6.2.1.1			Complete proteome;Ligase	Predicted	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; acetyl-CoA biosynthetic process from acetate [GO:0019427]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd05966;			IPR011904;IPR032387;IPR025110;IPR020845;IPR000873;IPR042099;	mfi:DSM1535_1939;	K01895;	PF16177;PF00501;PF13193;		WP_048073327.1;		Methanobacterium formicicum	2162
A0A090I6H9	A0A090I6H9	ribB DSM1535_1406	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	4.1.99.12	FUNCTION: Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate. {ECO:0000256|RuleBase:RU003843}.	PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 2-hydroxy-3-oxobutyl phosphate from D-ribulose 5-phosphate: step 1/1. {ECO:0000256|RuleBase:RU003843}.	Complete proteome;Lyase;Magnesium;Manganese;Metal-binding;Riboflavin biosynthesis	Inferred from homology	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; metal ion binding [GO:0046872]; riboflavin biosynthetic process [GO:0009231]	DHBP synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017945;IPR000422;	mfi:DSM1535_1406;	K02858;	PF00926;		WP_048072917.1;	UPA00275;UER00399	Methanobacterium formicicum	2162
A0A089ZH64	A0A089ZH64	BRM9_1787 DSM1535_2429 MB9_0569	HTH domain-containing protein (XRE family transcriptional regulator)				Complete proteome	Predicted	DNA binding [GO:0003677]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00093;			IPR004451;IPR001387;IPR010982;	mfc:BRM9_1787;mfi:DSM1535_2429;	K03627;	PF01381;		WP_048073723.1;		Methanobacterium formicicum	2162
A0A090JSV7	A0A090JSV7	DSM1535_0140	RNA-binding protein				Complete proteome	Predicted	RNA binding [GO:0003723]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022430;IPR015266;IPR016437;IPR002478;IPR015947;IPR036974;IPR004521;	mfi:DSM1535_0140;	K07575;	PF09183;PF01472;		WP_048071842.1;		Methanobacterium formicicum	2162
A0A090I6Q6	A0A090I6Q6	DSM1535_0394	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0394;				WP_048072059.1;		Methanobacterium formicicum	2162
A0A090I188	A0A090I188	rps19 rps19p BRM9_0403 DSM1535_0330 MB9_1439	30S ribosomal protein S19P		FUNCTION: Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA. {ECO:0000256|HAMAP-Rule:MF_00531}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS19 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002222;IPR020934;IPR023575;IPR005713;	mfc:BRM9_0403;mfi:DSM1535_0330;	K02965;	PF00203;		WP_048072002.1;		Methanobacterium formicicum	2162
A0A0S4FMY6	A0A0S4FMY6	MB9_0727	NADPH-dependent FMN reductase				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029039;IPR005025;			PF03358;		WP_060537425.1;		Methanobacterium formicicum	2162
K2REM2	K2REM2	ribH A994_01020	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	2.5.1.78	FUNCTION: Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000256|HAMAP-Rule:MF_00178}.	PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; riboflavin from 2-hydroxy-3-oxobutyl phosphate and 5-amino-6-(D-ribitylamino)uracil: step 1/2. {ECO:0000256|HAMAP-Rule:MF_00178}.	Complete proteome;Riboflavin biosynthesis;Transferase	Inferred from homology	riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]	DMRL synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR034964;IPR002180;IPR036467;			PF00885;		WP_004029392.1;	UPA00275;UER00404	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FPR7	A0A0S4FPR7	mvk MB9_1399	Mevalonate kinase (MK) (MVK) (EC 2.7.1.36)	2.7.1.36	FUNCTION: Catalyzes the phosphorylation of (R)-mevalonate (MVA) to (R)-mevalonate 5-phosphate (MVAP). Functions in the mevalonate (MVA) pathway leading to isopentenyl diphosphate (IPP), a key precursor for the biosynthesis of isoprenoid compounds such as archaeal membrane lipids. {ECO:0000256|HAMAP-Rule:MF_00217}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via mevalonate pathway; isopentenyl diphosphate from (R)-mevalonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_00217}.	ATP-binding;Complete proteome;Cytoplasm;Isoprene biosynthesis;Kinase;Lipid biosynthesis;Lipid metabolism;Magnesium;Nucleotide-binding;Transferase	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; mevalonate kinase activity [GO:0004496]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	GHMP kinase family, Mevalonate kinase subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013750;IPR036554;IPR006204;IPR006203;IPR006205;IPR022937;IPR020568;IPR014721;			PF08544;PF00288;		WP_060537824.1;	UPA00057;UER00098	Methanobacterium formicicum	2162
A0A089ZIQ0	A0A089ZIQ0	BRM9_1882 DSM1535_0064 MB9_0476	Metallophosphoesterase				Complete proteome	Predicted	hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004843;IPR029052;	mfc:BRM9_1882;mfi:DSM1535_0064;	K07098;	PF00149;		WP_048071780.1;		Methanobacterium formicicum	2162
A0A090I5K2	A0A090I5K2	DSM1535_2448	Uncharacterized protein				Complete proteome	Predicted	GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003495;IPR012202;IPR027417;	mfi:DSM1535_2448;		PF02492;		WP_048073742.1;		Methanobacterium formicicum	2162
A0A0S4FMS9	A0A0S4FMS9	MB9_0707	Archaeal glutamate synthase [NADPH] (EC 1.4.1.13)	1.4.1.13			Amino-acid biosynthesis;Complete proteome;FMN;Flavoprotein;Glutamate biosynthesis;NADP;Oxidoreductase	Inferred from homology	glutamate synthase (NADPH) activity [GO:0004355]; glutamate biosynthetic process [GO:0006537]	Glutamate synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02808;			IPR013785;IPR024188;IPR002932;IPR020075;			PF10967;PF01645;		WP_060537413.1;		Methanobacterium formicicum	2162
A0A0S4FPL3	A0A0S4FPL3	MB9_1346	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008553;IPR014774;IPR027417;			PF06745;PF05763;		WP_060537767.1;		Methanobacterium formicicum	2162
A0A089ZUW3	A0A089ZUW3	BRM9_0561 DSM1535_0542 MB9_1599	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR024096;	mfc:BRM9_0561;mfi:DSM1535_0542;				WP_048072181.1;		Methanobacterium formicicum	2162
K2RBU1	K2RBU1	atpA A994_06805	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	7.1.2.2	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal alpha chain is a catalytic subunit. {ECO:0000256|HAMAP-Rule:MF_00309}.		ATP synthesis;ATP-binding;Complete proteome;Hydrogen ion transport;Hydrolase;Ion transport;Nucleotide-binding;Translocase;Transport	Inferred from homology	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	ATPase alpha/beta chains family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR031686;IPR023366;IPR005726;IPR020003;IPR004100;IPR036121;IPR000194;IPR024034;IPR027417;IPR022878;			PF00006;PF02874;PF16886;		WP_004030651.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I0Y8	A0A090I0Y8	cimA DSM1535_0118	Putative (R)-citramalate synthase CimA (EC 2.3.1.182)	2.3.1.182	FUNCTION: Catalyzes the condensation of pyruvate and acetyl-coenzyme A to form (R)-citramalate. {ECO:0000256|HAMAP-Rule:MF_01028}.	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; 2-oxobutanoate from pyruvate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01028}.	Acyltransferase;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Complete proteome;Isoleucine biosynthesis;Transferase	Inferred from homology	(R)-citramalate synthase activity [GO:0043714]; 2-isopropylmalate synthase activity [GO:0003852]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]	Alpha-IPM synthase/homocitrate synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013709;IPR002034;IPR013785;IPR024890;IPR011830;IPR036230;IPR000891;	mfi:DSM1535_0118;	K09011;	PF00682;PF08502;		WP_048071822.1;	UPA00047;UER00066	Methanobacterium formicicum	2162
K2RRQ3	K2RRQ3	rpl31e A994_08251	50S ribosomal protein L31e				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Ribosomal protein L31e family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00463;			IPR000054;IPR023621;			PF01198;		WP_004031001.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090JUA7	A0A090JUA7	topA DSM1535_0670	DNA topoisomerase 1 (EC 5.6.2.2) (DNA topoisomerase I)	5.6.2.2	FUNCTION: Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone. {ECO:0000256|HAMAP-Rule:MF_00952}.		Complete proteome;DNA-binding;Isomerase;Topoisomerase	Inferred from homology	chromosome [GO:0005694]; DNA binding [GO:0003677]; DNA topoisomerase type I activity [GO:0003917]; DNA topological change [GO:0006265]	Type IA topoisomerase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00186;cd03362;			IPR000380;IPR003601;IPR013497;IPR013824;IPR013825;IPR013826;IPR023405;IPR003602;IPR013498;IPR005739;IPR028612;IPR006171;IPR034144;	mfi:DSM1535_0670;	K03168;	PF01131;PF01751;PF01396;		WP_048072297.1;		Methanobacterium formicicum	2162
A0A089ZH29	A0A089ZH29	BRM9_1715 MB9_0641	Putative secreted protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003814;	mfc:BRM9_1715;		PF02663;		WP_048085487.1;		Methanobacterium formicicum	2162
A0A090I897	A0A090I897	ftr ftr2 BRM9_2162 DSM1535_1101	Formylmethanofuran--tetrahydromethanopterin formyltransferase (EC 2.3.1.101) (H4MPT formyltransferase)	2.3.1.101	FUNCTION: Catalyzes the reversible transfer of a formyl group from formylmethanofuran (formyl-MFR) to tetrahydromethanopterin (H(4)MPT) so as to produce 5-formyl tetrahydromethanopterin (5-formyl-H(4)MPT) and methanofuran (MFR). {ECO:0000256|HAMAP-Rule:MF_00579}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); 5,10-methenyl-5,6,7,8-tetrahydromethanopterin from CO(2): step 2/3. {ECO:0000256|HAMAP-Rule:MF_00579}.	Acyltransferase;Complete proteome;Cytoplasm;Methanogenesis;One-carbon metabolism;Transferase	Inferred from homology	cytoplasm [GO:0005737]; formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity [GO:0030270]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FTR family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014053;IPR002770;IPR023447;IPR022667;	mfc:BRM9_2162;mfi:DSM1535_1101;	K00672;	PF01913;PF02741;		WP_048072655.1;	UPA00640;UER00693	Methanobacterium formicicum	2162
K2QBS7	K2QBS7	A994_09496	ABC transporter subunit Ycf24				Complete proteome	Predicted	iron-sulfur cluster assembly [GO:0016226]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000825;IPR037284;			PF01458;		WP_004031303.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I4M6	A0A090I4M6	DSM1535_2070	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008969;IPR001434;	mfi:DSM1535_2070;		PF01345;				Methanobacterium formicicum	2162
A0A089ZHQ4	A0A089ZHQ4	atwA3 BRM9_2103 DSM1535_1578	Methyl-coenzyme M reductase component A2 AtwA3 (Putative ABC transporter ATP-binding protein MJ1242)				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003439;IPR017871;IPR017669;IPR027417;	mfc:BRM9_2103;mfi:DSM1535_1578;	K00400;	PF00005;		WP_048073044.1;		Methanobacterium formicicum	2162
A0A089ZCC0	A0A089ZCC0	pycB BRM9_0885 MB9_1939	Pyruvate carboxylase subunit B PycB				Complete proteome;Ligase;Pyruvate	Predicted	ligase activity [GO:0016874]; oxaloacetate decarboxylase activity [GO:0008948]; sodium ion transport [GO:0006814]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013785;IPR001882;IPR000089;IPR003379;IPR005776;IPR000891;IPR011053;	mfc:BRM9_0885;	K01960;	PF00364;PF00682;PF02436;		WP_048084962.1;		Methanobacterium formicicum	2162
K2RRA6	K2RRA6	A994_08961	Uncharacterized protein				Coiled coil;Complete proteome	Predicted	cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038078;IPR026022;IPR006037;IPR036721;			PF01895;PF02080;		WP_004031159.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I689	A0A090I689	DSM1535_1284	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018975;	mfi:DSM1535_1284;		PF09373;		WP_052659968.1;		Methanobacterium formicicum	2162
